,house,model,cost,commitement,window,a,b
0,b,linear,868.966252443024,7,9,2,2
1,b,linear,634.6011588183429,7,9,1,1
2,b,linear,1121.1051388565418,7,9,4,2
3,b,linear,1142.62674191863,7,9,4,1
4,b,linear,764.3088397768191,7,9,1,4
5,b,linear,964.8276468136712,7,9,2,4
6,c,linear,1165.1292072608517,7,9,2,2
7,c,linear,871.0938559446727,7,9,1,1
8,c,linear,1469.455755790107,7,9,4,2
9,c,linear,1523.1818744670773,7,9,4,1
10,c,linear,1050.2389179914371,7,9,1,4
11,c,linear,1279.5048552739613,7,9,2,4
12,f,linear,142483.28624006698,7,9,2,2
13,f,linear,106989.83263602783,7,9,1,1
14,f,linear,171987.25940328877,7,9,4,2
15,f,linear,171324.63486132066,7,9,4,1
16,f,linear,156932.84326392223,7,9,1,4
17,f,linear,176121.8922978083,7,9,2,4
