,house,model,cost,window
10,b,lstm,1835.171595,9
9,b,lstm,1836.114146,7
13,b,lstm,1837.110243,15
8,b,lstm,1837.143471,5
12,b,lstm,1837.579307,13
11,b,lstm,1839.415283,11
7,b,lstm,1840.842195,3
14,b,linear,1852.654568,3
19,b,linear,1894.785366,13
18,b,linear,1895.574921,11
0,b,xgb,1898.108,3
15,b,linear,1899.261666,5
16,b,linear,1911.530009,7
20,b,linear,1911.75128,15
17,b,linear,1926.854603,9
4,b,xgb,1956.179104,11
1,b,xgb,1962.861637,5
2,b,xgb,1980.91765,7
5,b,xgb,1981.548822,13
3,b,xgb,1989.242289,9
6,b,xgb,1991.497525,15
21,c,xgb,2416.77046,3
22,c,xgb,2458.866779,5
23,c,xgb,2504.504399,7
25,c,xgb,2515.789589,11
27,c,xgb,2522.419709,15
26,c,xgb,2525.54598,13
24,c,xgb,2525.709761,9
35,c,linear,2617.158697,3
39,c,linear,2636.866187,11
36,c,linear,2641.609396,5
40,c,linear,2659.268731,13
41,c,linear,2676.227887,15
33,c,lstm,2702.858456,13
32,c,lstm,2703.730443,11
34,c,lstm,2706.173877,15
37,c,linear,2714.796398,7
31,c,lstm,2720.644408,9
30,c,lstm,2722.929515,7
29,c,lstm,2731.035294,5
38,c,linear,2735.713204,9
28,c,lstm,2744.706065,3
56,f,linear,279154.5162,3
57,f,linear,284335.7963,5
58,f,linear,287812.6411,7
59,f,linear,295382.6017,9
62,f,linear,306455.1675,15
42,f,xgb,307711.4605,3
61,f,linear,308599.9207,13
60,f,linear,309556.7981,11
43,f,xgb,313103.1974,5
44,f,xgb,314194.1191,7
45,f,xgb,314990.7496,9
48,f,xgb,324427.1684,15
47,f,xgb,326064.934,13
46,f,xgb,327501.093,11
51,f,lstm,425747.205,7
52,f,lstm,425799.5102,9
50,f,lstm,425902.77,5
49,f,lstm,425907.539,3
53,f,lstm,426307.3804,11
55,f,lstm,426319.6153,15
54,f,lstm,426336.591,13
